test,tf,tp_r,sl,thr,wl,train_n,train_pf,train_wr,all_n,all_wr,all_pf,sel_n,sel_wr,sel_pf
2025-04..2025-06,240,0.6,0.5,50,4,56,1.015,64.3,25,76.0,1.809,7,85.7,3.396
2025-07..2025-09,240,0.6,0.5,50,6,81,1.197,67.9,26,57.7,0.761,3,66.7,1.064
2025-10..2025-12,240,0.6,1.0,70,24,53,1.219,67.9,15,80.0,2.239,15,80.0,2.239
2026-01..2026-03,240,0.6,1.0,70,5,68,1.374,70.6,13,61.5,0.904,4,25.0,0.186
2026-04..2026-06,240,0.6,1.0,70,6,81,1.279,69.1,9,77.8,2.013,2,100.0,99.0
2026-07..2026-09,240,0.6,1.0,70,7,90,1.333,70.0,5,40.0,0.369,3,33.3,0.274
