test,tf,tp_r,sl,thr,wl,train_n,train_pf,train_wr,all_n,all_wr,all_pf,sel_n,sel_wr,sel_pf
2025-04..2025-06,240,1.5,0.5,70,24,34,1.274,47.1,17,58.8,2.065,17,58.8,2.065
2025-07..2025-09,240,1.5,0.5,70,24,51,1.495,51.0,17,35.3,0.778,17,35.3,0.778
2025-10..2025-12,240,1.5,0.5,70,5,68,1.275,47.1,19,57.9,1.834,4,50.0,1.382
2026-01..2026-03,240,1.5,0.5,70,7,87,1.379,49.4,18,55.6,1.776,7,42.9,1.063
2026-04..2026-06,240,1.5,0.5,70,9,105,1.44,50.5,12,58.3,1.998,4,50.0,1.443
2026-07..2026-09,240,1.5,0.5,70,10,117,1.489,51.3,8,37.5,0.961,5,40.0,0.935
