pair,dir,entry_time,exit_time,r_multiple,exit_reason
GBPCAD,LONG,2026-05-20 16:45:00+00:00,2026-05-20 21:00:00+00:00,-1.0,stop
EURUSD,SHORT,2026-05-21 03:45:00+00:00,2026-05-21 04:45:00+00:00,-1.0,stop
GBPCAD,LONG,2026-05-21 07:45:00+00:00,2026-05-21 08:00:00+00:00,0.5,target
GBPCAD,LONG,2026-05-21 08:45:00+00:00,2026-05-21 09:00:00+00:00,0.5,target
EURUSD,SHORT,2026-05-21 14:15:00+00:00,2026-05-21 15:00:00+00:00,0.5,target
CADJPY,SHORT,2026-05-22 03:30:00+00:00,2026-05-22 03:45:00+00:00,0.4,target
CADJPY,SHORT,2026-05-22 04:30:00+00:00,2026-05-22 04:45:00+00:00,-1.0,stop
NZDUSD,SHORT,2026-05-22 08:00:00+00:00,2026-05-22 09:00:00+00:00,0.5,target
XAUUSD,SHORT,2026-05-22 11:15:00+00:00,2026-05-22 11:30:00+00:00,-1.0,stop
XAUUSD,SHORT,2026-05-22 14:45:00+00:00,2026-05-22 15:00:00+00:00,-1.0,stop
CADJPY,SHORT,2026-05-22 17:00:00+00:00,2026-05-22 17:15:00+00:00,0.4,target
XAUUSD,SHORT,2026-05-22 19:45:00+00:00,2026-05-22 20:00:00+00:00,0.5,target
XAUUSD,SHORT,2026-05-22 20:30:00+00:00,2026-05-24 22:00:00+00:00,-1.0,stop
NZDUSD,LONG,2026-05-25 00:15:00+00:00,2026-05-25 01:15:00+00:00,0.5,target
XAUUSD,LONG,2026-05-25 11:00:00+00:00,2026-05-25 11:30:00+00:00,0.5,target
GBPUSD,LONG,2026-05-25 14:15:00+00:00,2026-05-25 15:00:00+00:00,0.5,target
GBPCAD,SHORT,2026-05-25 14:30:00+00:00,2026-05-25 15:00:00+00:00,0.5,target
NZDUSD,SHORT,2026-05-26 01:15:00+00:00,2026-05-26 01:30:00+00:00,0.5,target
GBPUSD,SHORT,2026-05-26 02:30:00+00:00,2026-05-26 03:00:00+00:00,-1.0,stop
NZDUSD,SHORT,2026-05-26 04:15:00+00:00,2026-05-26 05:00:00+00:00,0.5,target
XAUUSD,SHORT,2026-05-26 05:45:00+00:00,2026-05-26 06:00:00+00:00,-1.0,stop
GBPCAD,SHORT,2026-05-26 06:30:00+00:00,2026-05-26 06:45:00+00:00,0.5,target
GBPCAD,SHORT,2026-05-26 09:30:00+00:00,2026-05-26 13:30:00+00:00,0.5,target
EURUSD,SHORT,2026-05-26 12:30:00+00:00,2026-05-26 12:45:00+00:00,0.5,target
NZDUSD,LONG,2026-05-27 00:00:00+00:00,2026-05-27 00:30:00+00:00,0.5,target
XAUUSD,SHORT,2026-05-27 06:45:00+00:00,2026-05-27 07:45:00+00:00,0.5,target
CADJPY,SHORT,2026-05-27 11:15:00+00:00,2026-05-27 11:45:00+00:00,-1.0,stop
EURUSD,SHORT,2026-05-27 11:15:00+00:00,2026-05-27 11:45:00+00:00,0.5,target
NZDUSD,LONG,2026-05-27 13:00:00+00:00,2026-05-27 14:15:00+00:00,0.5,target
CADJPY,LONG,2026-05-27 16:45:00+00:00,2026-05-27 17:15:00+00:00,0.4,target
EURUSD,SHORT,2026-05-27 18:00:00+00:00,2026-05-27 23:45:00+00:00,0.5,target
EURUSD,SHORT,2026-05-28 02:30:00+00:00,2026-05-28 03:00:00+00:00,0.5,target
GBPUSD,SHORT,2026-05-28 02:30:00+00:00,2026-05-28 03:00:00+00:00,0.5,target
GBPUSD,LONG,2026-05-28 13:30:00+00:00,2026-05-28 14:00:00+00:00,-1.0,stop(ambiguous)
GBPUSD,SHORT,2026-05-29 03:30:00+00:00,2026-05-29 03:45:00+00:00,0.5,target
XAUUSD,LONG,2026-05-29 15:45:00+00:00,2026-05-29 20:45:00+00:00,-1.0,stop
NZDUSD,SHORT,2026-06-01 01:00:00+00:00,2026-06-01 01:45:00+00:00,0.5,target
NZDUSD,SHORT,2026-06-01 03:30:00+00:00,2026-06-01 09:00:00+00:00,0.5,target
EURUSD,LONG,2026-06-01 05:30:00+00:00,2026-06-01 06:00:00+00:00,0.5,target
GBPUSD,LONG,2026-06-01 05:30:00+00:00,2026-06-01 06:00:00+00:00,0.5,target
GBPUSD,LONG,2026-06-01 06:30:00+00:00,2026-06-01 06:45:00+00:00,0.5,target
XAUUSD,SHORT,2026-06-01 07:15:00+00:00,2026-06-01 07:30:00+00:00,0.5,target
XAUUSD,SHORT,2026-06-01 09:15:00+00:00,2026-06-01 09:30:00+00:00,0.5,target
CADJPY,SHORT,2026-06-01 13:30:00+00:00,2026-06-01 21:00:00+00:00,0.4,target
XAUUSD,LONG,2026-06-01 18:30:00+00:00,2026-06-02 00:00:00+00:00,-1.0,stop
EURUSD,LONG,2026-06-01 18:30:00+00:00,2026-06-01 19:45:00+00:00,-1.0,stop
XAUUSD,LONG,2026-06-02 04:30:00+00:00,2026-06-02 04:45:00+00:00,0.5,target
GBPCAD,LONG,2026-06-03 05:00:00+00:00,2026-06-03 05:15:00+00:00,0.5,target
CADJPY,SHORT,2026-06-03 09:45:00+00:00,2026-06-03 14:00:00+00:00,0.4,target
XAUUSD,LONG,2026-06-04 01:45:00+00:00,2026-06-04 02:45:00+00:00,0.5,target
XAUUSD,LONG,2026-06-04 03:45:00+00:00,2026-06-04 04:00:00+00:00,0.5,target
XAUUSD,LONG,2026-06-04 12:15:00+00:00,2026-06-04 12:45:00+00:00,0.5,target
GBPCAD,SHORT,2026-06-04 17:00:00+00:00,2026-06-04 17:45:00+00:00,0.5,target
CADJPY,SHORT,2026-06-04 20:45:00+00:00,2026-06-04 21:00:00+00:00,0.4,target
CADJPY,SHORT,2026-06-05 02:30:00+00:00,2026-06-05 03:15:00+00:00,0.4,target
NZDUSD,LONG,2026-06-05 08:00:00+00:00,2026-06-05 08:15:00+00:00,0.5,target
NZDUSD,LONG,2026-06-05 09:00:00+00:00,2026-06-05 10:15:00+00:00,0.5,target
GBPCAD,LONG,2026-06-05 10:00:00+00:00,2026-06-05 10:15:00+00:00,0.5,target
CADJPY,SHORT,2026-06-08 07:30:00+00:00,2026-06-08 07:45:00+00:00,0.4,target
XAUUSD,LONG,2026-06-08 11:45:00+00:00,2026-06-08 13:30:00+00:00,0.5,target
EURUSD,LONG,2026-06-08 19:00:00+00:00,2026-06-08 19:30:00+00:00,0.5,target
XAUUSD,SHORT,2026-06-09 00:15:00+00:00,2026-06-09 01:00:00+00:00,-1.0,stop
