retr_frac,sl_atr_buffer,tp_r,tp1_frac,breakeven_after_tp1,entry_expiry,min_score,n,wr,pf,exp,total_r
0.35,0.8,2.5,0.5,True,10,55,284,46.83098591549296,0.7034301091433817,-0.15988462995409117,-45.40723490696189
0.35,0.8,2.5,0.5,True,10,60,278,46.402877697841724,0.7007227631064855,-0.16245676467362977,-45.162980579269075
0.35,0.8,2.5,0.5,True,10,65,260,47.30769230769231,0.7396696143272069,-0.13789191450034183,-35.851897770088875
0.35,0.8,2.5,0.5,True,10,70,203,51.724137931034484,0.9246709572968747,-0.035348428721265715,-7.175731030416941
0.35,0.8,2.5,0.5,True,10,75,120,50.83333333333333,0.9161011516998362,-0.03994056759832323,-4.7928681117987875
0.35,0.8,3.0,0.5,True,6,0,269,47.58364312267658,0.7256774826916961,-0.14586225964313482,-39.23694784400327
0.35,0.8,3.0,0.5,True,6,55,267,47.565543071161045,0.7283811596361219,-0.14441119687511253,-38.55778956565504
0.35,0.8,3.0,0.5,True,6,60,264,47.72727272727273,0.7368010212451888,-0.1393731450589082,-36.79451029555176
0.35,0.8,3.0,0.5,True,6,65,245,48.16326530612245,0.7697910574957073,-0.1199948145994221,-29.398729576858415
0.35,0.8,3.0,0.5,True,6,70,200,51.5,0.9105768258994902,-0.04252930540594512,-8.505861081189025
0.35,0.8,3.0,0.5,True,6,75,122,52.459016393442624,1.0191269089116395,0.008664311061316057,1.057045949480559
0.35,0.8,3.0,0.5,True,10,0,287,46.68989547038328,0.7017382117505795,-0.161340092224735,-46.304606468498946
0.35,0.8,3.0,0.5,True,10,55,285,46.666666666666664,0.704060475766634,-0.1600892918952657,-45.62544819015072
0.35,0.8,3.0,0.5,True,10,60,281,46.619217081850536,0.7088085713404324,-0.1575266207795795,-44.26498043906184
0.35,0.8,3.0,0.5,True,10,65,262,46.94656488549619,0.7340613933950528,-0.14202397743201703,-37.21028208718846
0.35,0.8,3.0,0.5,True,10,70,214,50.0,0.860657966597676,-0.068510767933603,-14.661304337791043
0.35,0.8,3.0,0.5,True,10,75,134,50.74626865671642,0.9528883457969829,-0.022235623403168335,-2.979573536024557
0.35,0.8,3.0,0.5,False,6,0,267,38.951310861423224,0.7600078460077957,-0.12891946638269752,-34.42149752418024
0.35,0.8,3.0,0.5,False,6,55,265,39.24528301886793,0.7663078768717922,-0.12544278960691327,-33.242339245832014
0.35,0.8,3.0,0.5,False,6,60,262,39.31297709923664,0.7644475658149598,-0.12594884936246584,-32.99859853296605
0.35,0.8,3.0,0.5,False,6,65,243,40.32921810699588,0.8076439688412962,-0.10116617174605866,-24.583379734292254
0.35,0.8,3.0,0.5,False,6,70,198,43.43434343434344,0.9493565757973291,-0.024296125878748822,-4.810632923992267
0.35,0.8,3.0,0.5,False,6,75,121,43.80165289256198,1.038267641954527,0.017349146791767644,2.099246761803885
0.35,0.8,3.0,0.5,False,10,0,285,37.89473684210527,0.7374959803028148,-0.14351938679091872,-40.90302523541183
0.35,0.8,3.0,0.5,False,10,55,283,38.16254416961131,0.7431195400465823,-0.14036702104969473,-39.723866957063606
0.35,0.8,3.0,0.5,False,10,60,279,38.35125448028674,0.7415061038521586,-0.14119338997158318,-39.392955802071704
0.35,0.8,3.0,0.5,False,10,65,260,39.23076923076923,0.7759669422964153,-0.12072395875777185,-31.38822927702068
0.35,0.8,3.0,0.5,False,10,70,212,41.9811320754717,0.8909830994296437,-0.05408526500280321,-11.46607618059428
0.35,0.8,3.0,0.5,False,10,75,133,42.10526315789473,0.9612653803918777,-0.018326110704520556,-2.437372723701234
0.35,1.1,2.0,0.5,True,6,0,258,47.286821705426355,0.7202868213601894,-0.1427898475274177,-36.839780662073764
0.35,1.1,2.0,0.5,True,6,55,253,47.43083003952569,0.7319697417786889,-0.13612485393008683,-34.43958804431197
0.35,1.1,2.0,0.5,True,6,60,240,47.91666666666667,0.7610246709281748,-0.11985671327241783,-28.76561118538028
0.35,1.1,2.0,0.5,True,6,65,204,48.529411764705884,0.8134670881924526,-0.09029812666467167,-18.42081783959302
0.35,1.1,2.0,0.5,True,6,70,141,51.06382978723404,0.9546139689003098,-0.019807445636195263,-2.792849834703532
0.35,1.1,2.0,0.5,True,6,75,71,38.028169014084504,0.5882752670986313,-0.22760528813430875,-16.15997545753592
0.35,1.1,2.0,0.5,True,10,0,276,46.73913043478261,0.7097720112490251,-0.14944441054065963,-41.24665730922206
0.35,1.1,2.0,0.5,True,10,55,270,46.666666666666664,0.7173583173547249,-0.14540761292446472,-39.26005548960547
0.35,1.1,2.0,0.5,True,10,60,257,47.081712062256805,0.7431927058612499,-0.13068513085865285,-33.58607863067378
0.35,1.1,2.0,0.5,True,10,65,220,47.72727272727273,0.791441796855429,-0.10249803719337469,-22.549568182542433
0.35,1.1,2.0,0.5,True,10,70,156,49.358974358974365,0.8959554355743684,-0.04728173148623437,-7.375950111852562
