test,tf,tp_r,sl,thr,wl,train_n,train_pf,train_wr,all_n,all_wr,all_pf,sel_n,sel_wr,sel_pf
2025-04..2025-06,240,2.0,0.5,70,24,33,1.413,42.4,17,41.2,1.351,17,41.2,1.351
2025-07..2025-09,240,2.0,1.0,70,24,49,1.449,44.9,16,31.2,0.765,16,31.2,0.765
2025-10..2025-12,240,2.0,1.0,70,4,65,1.261,41.5,18,44.4,1.49,1,100.0,99.0
2026-01..2026-03,240,2.0,1.0,70,7,83,1.308,42.2,16,37.5,0.999,3,0.0,0.0
2026-04..2026-06,240,2.0,0.5,70,8,102,1.352,42.2,12,58.3,2.675,3,33.3,0.973
2026-07..2026-09,240,2.0,0.5,70,11,114,1.455,43.9,8,37.5,1.288,5,40.0,1.254
