score.threshold,exits.tp2_r,exits.trail_atr_mult,toggles.breakout,sessions.enabled_sessions,trades,win%,PF,ret%,dd%,expR,obj
75.0,2.0,1.0,True,"('LONDON', 'OVERLAP', 'NEWYORK')",99,42.4,0.91,-2.0,3.57,-0.062,-1.247
75.0,2.0,1.0,True,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",99,42.4,0.91,-2.0,3.57,-0.062,-1.247
75.0,2.5,1.5,True,"('LONDON', 'OVERLAP', 'NEWYORK')",99,42.4,0.9,-2.19,3.6,-0.07,-1.333
75.0,2.5,1.5,True,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",99,42.4,0.9,-2.19,3.6,-0.07,-1.333
75.0,2.0,1.5,True,"('LONDON', 'OVERLAP', 'NEWYORK')",99,42.4,0.88,-2.49,3.71,-0.077,-1.537
75.0,2.0,1.5,True,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",99,42.4,0.88,-2.49,3.71,-0.077,-1.537
85.0,2.5,1.5,False,"('LONDON', 'OVERLAP', 'NEWYORK')",43,41.9,0.82,-1.72,3.46,-0.111,-1.8
85.0,2.5,1.5,False,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",43,41.9,0.82,-1.72,3.46,-0.111,-1.8
85.0,2.0,1.0,False,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",43,41.9,0.81,-1.82,3.42,-0.108,-1.821
85.0,2.0,1.0,False,"('LONDON', 'OVERLAP', 'NEWYORK')",43,41.9,0.81,-1.82,3.42,-0.108,-1.821
85.0,2.0,1.5,False,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",43,41.9,0.8,-1.83,3.56,-0.112,-1.85
85.0,2.0,1.5,False,"('LONDON', 'OVERLAP', 'NEWYORK')",43,41.9,0.8,-1.83,3.56,-0.112,-1.85
85.0,2.5,1.0,False,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",43,41.9,0.81,-1.74,3.33,-0.108,-1.887
85.0,2.5,1.0,False,"('LONDON', 'OVERLAP', 'NEWYORK')",43,41.9,0.81,-1.74,3.33,-0.108,-1.887
80.0,2.5,1.0,True,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",78,41.0,0.81,-3.38,3.38,-0.107,-1.981
80.0,2.5,1.0,True,"('LONDON', 'OVERLAP', 'NEWYORK')",78,41.0,0.81,-3.38,3.38,-0.107,-1.981
80.0,2.0,1.0,True,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",78,41.0,0.8,-3.42,3.42,-0.108,-1.992
80.0,2.0,1.0,True,"('LONDON', 'OVERLAP', 'NEWYORK')",78,41.0,0.8,-3.42,3.42,-0.108,-1.992
80.0,2.0,1.5,True,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",78,41.0,0.78,-3.82,3.82,-0.123,-2.155
80.0,2.0,1.5,True,"('LONDON', 'OVERLAP', 'NEWYORK')",78,41.0,0.78,-3.82,3.82,-0.123,-2.155
80.0,2.5,1.5,True,"('LONDON', 'OVERLAP', 'NEWYORK')",78,41.0,0.78,-3.88,3.88,-0.127,-2.186
80.0,2.5,1.5,True,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",78,41.0,0.78,-3.88,3.88,-0.127,-2.186
85.0,2.0,1.0,True,"('LONDON', 'OVERLAP', 'NEWYORK')",58,39.7,0.74,-3.43,4.24,-0.155,-2.395
85.0,2.0,1.0,True,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",58,39.7,0.74,-3.43,4.24,-0.155,-2.395
85.0,2.0,1.5,True,"('LONDON', 'OVERLAP', 'NEWYORK')",58,39.7,0.73,-3.57,4.33,-0.163,-2.465
85.0,2.0,1.5,True,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",58,39.7,0.73,-3.57,4.33,-0.163,-2.465
85.0,2.5,1.0,True,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",58,39.7,0.73,-3.58,4.35,-0.163,-2.468
85.0,2.5,1.0,True,"('LONDON', 'OVERLAP', 'NEWYORK')",58,39.7,0.73,-3.58,4.35,-0.163,-2.468
85.0,2.5,1.5,True,"('LONDON', 'OVERLAP', 'NEWYORK')",58,39.7,0.71,-3.82,4.49,-0.177,-2.582
85.0,2.5,1.5,True,"('ASIA', 'LONDON', 'OVERLAP', 'NEWYORK')",58,39.7,0.71,-3.82,4.49,-0.177,-2.582
