stopx,tgtR,cost<=,strat,qual,n,win%,PF,expR,totR
3.0,1.5,0.05,no_liquidity_only,m15,887,52.4,1.24,0.094,83.0
3.0,1.5,0.05,no_liquidity_only,retest+m15,547,53.0,1.31,0.127,69.4
3.0,2.0,0.02,all,none,1126,49.7,1.19,0.074,83.2
3.0,2.0,0.02,all,retest,645,51.2,1.31,0.118,76.3
3.0,2.0,0.02,all,m15,916,51.5,1.27,0.101,92.2
3.0,2.0,0.02,all,retest+m15,512,54.3,1.47,0.171,87.4
3.0,2.0,0.02,trend,none,307,54.4,1.25,0.089,27.3
3.0,2.0,0.02,trend,m15,307,54.4,1.25,0.089,27.3
3.0,2.0,0.02,trend+breakout,none,634,52.5,1.3,0.112,70.9
3.0,2.0,0.02,trend+breakout,retest,363,54.5,1.53,0.189,68.5
3.0,2.0,0.02,trend+breakout,m15,598,52.8,1.31,0.115,68.8
3.0,2.0,0.02,trend+breakout,retest+m15,329,55.3,1.57,0.203,66.8
3.0,2.0,0.02,no_liquidity_only,none,634,52.5,1.3,0.112,70.9
3.0,2.0,0.02,no_liquidity_only,retest,363,54.5,1.53,0.189,68.5
3.0,2.0,0.02,no_liquidity_only,m15,598,52.8,1.31,0.115,68.8
3.0,2.0,0.02,no_liquidity_only,retest+m15,329,55.3,1.57,0.203,66.8
3.0,2.0,0.03,all,none,1446,49.9,1.23,0.093,134.4
3.0,2.0,0.03,all,retest,889,51.2,1.35,0.14,124.2
3.0,2.0,0.03,all,m15,1184,51.6,1.3,0.119,140.7
3.0,2.0,0.03,all,retest+m15,709,53.7,1.48,0.184,130.1
3.0,2.0,0.03,trend,none,369,53.4,1.2,0.073,27.1
3.0,2.0,0.03,trend,m15,369,53.4,1.2,0.073,27.1
3.0,2.0,0.03,trend+breakout,none,881,51.9,1.29,0.117,103.1
3.0,2.0,0.03,trend+breakout,retest,552,53.3,1.45,0.178,98.4
3.0,2.0,0.03,trend+breakout,m15,814,52.3,1.31,0.123,100.5
3.0,2.0,0.03,trend+breakout,retest+m15,488,54.1,1.5,0.195,95.2
3.0,2.0,0.03,no_liquidity_only,none,881,51.9,1.29,0.117,103.1
3.0,2.0,0.03,no_liquidity_only,retest,552,53.3,1.45,0.178,98.4
3.0,2.0,0.03,no_liquidity_only,m15,814,52.3,1.31,0.123,100.5
3.0,2.0,0.03,no_liquidity_only,retest+m15,488,54.1,1.5,0.195,95.2
3.0,2.0,0.05,all,none,1594,49.1,1.19,0.079,125.7
3.0,2.0,0.05,all,retest,1019,49.5,1.25,0.106,107.9
3.0,2.0,0.05,all,m15,1314,50.3,1.23,0.095,124.5
3.0,2.0,0.05,all,retest+m15,822,51.1,1.31,0.131,107.5
3.0,2.0,0.05,trend,none,383,53.5,1.22,0.083,31.8
3.0,2.0,0.05,trend,m15,383,53.5,1.22,0.083,31.8
3.0,2.0,0.05,trend+breakout,none,1006,51.0,1.25,0.105,105.9
3.0,2.0,0.05,trend+breakout,retest,660,51.2,1.33,0.14,92.6
3.0,2.0,0.05,trend+breakout,m15,923,51.1,1.25,0.105,96.7
3.0,2.0,0.05,trend+breakout,retest+m15,581,51.5,1.34,0.145,84.0
3.0,2.0,0.05,no_liquidity_only,none,1006,51.0,1.25,0.105,105.9
3.0,2.0,0.05,no_liquidity_only,retest,660,51.2,1.33,0.14,92.6
3.0,2.0,0.05,no_liquidity_only,m15,923,51.1,1.25,0.105,96.7
3.0,2.0,0.05,no_liquidity_only,retest+m15,581,51.5,1.34,0.145,84.0
3.0,2.5,0.02,all,none,1314,49.9,1.27,0.107,140.9
3.0,2.5,0.02,all,retest,782,51.3,1.41,0.161,126.1
3.0,2.5,0.02,all,m15,1076,51.5,1.33,0.128,137.8
3.0,2.5,0.02,all,retest+m15,624,53.8,1.54,0.202,126.0
3.0,2.5,0.02,trend,none,343,53.9,1.24,0.088,30.0
3.0,2.5,0.02,trend,m15,343,53.9,1.24,0.088,30.0
3.0,2.5,0.02,trend+breakout,none,766,52.1,1.34,0.132,101.0
3.0,2.5,0.02,trend+breakout,retest,460,53.7,1.55,0.207,95.2
3.0,2.5,0.02,trend+breakout,m15,718,52.5,1.35,0.136,97.6
3.0,2.5,0.02,trend+breakout,retest+m15,414,54.6,1.59,0.223,92.3
3.0,2.5,0.02,no_liquidity_only,none,766,52.1,1.34,0.132,101.0
3.0,2.5,0.02,no_liquidity_only,retest,460,53.7,1.55,0.207,95.2
3.0,2.5,0.02,no_liquidity_only,m15,718,52.5,1.35,0.136,97.6
3.0,2.5,0.02,no_liquidity_only,retest+m15,414,54.6,1.59,0.223,92.3
3.0,2.5,0.03,all,none,1540,49.2,1.25,0.104,160.7
3.0,2.5,0.03,all,retest,967,49.7,1.34,0.142,137.5
3.0,2.5,0.03,all,m15,1268,50.6,1.3,0.122,155.0
3.0,2.5,0.03,all,retest+m15,778,51.7,1.42,0.173,134.7
3.0,2.5,0.03,trend,none,381,53.5,1.25,0.093,35.5
3.0,2.5,0.03,trend,m15,381,53.5,1.25,0.093,35.5
3.0,2.5,0.03,trend+breakout,none,962,50.8,1.3,0.123,118.2
3.0,2.5,0.03,trend+breakout,retest,618,51.1,1.4,0.169,104.7
3.0,2.5,0.03,trend+breakout,m15,887,51.1,1.3,0.124,109.7
3.0,2.5,0.03,trend+breakout,retest+m15,547,51.6,1.42,0.177,96.8
3.0,2.5,0.03,no_liquidity_only,none,962,50.8,1.3,0.123,118.2
3.0,2.5,0.03,no_liquidity_only,retest,618,51.1,1.4,0.169,104.7
3.0,2.5,0.03,no_liquidity_only,m15,887,51.1,1.3,0.124,109.7
3.0,2.5,0.03,no_liquidity_only,retest+m15,547,51.6,1.42,0.177,96.8
3.0,2.5,0.05,all,none,1602,48.9,1.23,0.098,157.6
3.0,2.5,0.05,all,retest,1027,49.1,1.3,0.129,132.4
3.0,2.5,0.05,all,m15,1319,50.0,1.27,0.112,147.2
3.0,2.5,0.05,all,retest+m15,827,50.7,1.35,0.151,124.9
