stopx,tgtR,cost<=,strat,qual,n,win%,PF,expR,totR
1.6,2.5,0.02,trend,none,185,49.7,1.36,0.17,31.4
1.6,2.5,0.02,trend,m15,185,49.7,1.36,0.17,31.4
1.6,2.5,0.02,trend+breakout,none,362,45.6,1.29,0.153,55.3
1.6,2.5,0.02,trend+breakout,retest,205,45.9,1.41,0.22,45.0
1.6,2.5,0.02,trend+breakout,m15,345,45.5,1.27,0.142,48.9
1.6,2.5,0.02,trend+breakout,retest+m15,188,45.7,1.38,0.205,38.6
1.6,2.5,0.02,no_liquidity_only,none,362,45.6,1.29,0.153,55.3
1.6,2.5,0.02,no_liquidity_only,retest,205,45.9,1.41,0.22,45.0
1.6,2.5,0.02,no_liquidity_only,m15,345,45.5,1.27,0.142,48.9
1.6,2.5,0.02,no_liquidity_only,retest+m15,188,45.7,1.38,0.205,38.6
1.6,2.5,0.03,all,none,1126,43.4,1.28,0.153,172.7
1.6,2.5,0.03,all,retest,645,43.9,1.34,0.188,121.4
1.6,2.5,0.03,all,m15,916,44.5,1.33,0.181,165.3
1.6,2.5,0.03,all,retest+m15,512,46.1,1.44,0.239,122.2
1.6,2.5,0.03,trend,none,307,48.5,1.41,0.204,62.6
1.6,2.5,0.03,trend,m15,307,48.5,1.41,0.204,62.6
1.6,2.5,0.03,trend+breakout,none,634,44.0,1.3,0.167,106.0
1.6,2.5,0.03,trend+breakout,retest,363,43.8,1.36,0.204,74.0
1.6,2.5,0.03,trend+breakout,m15,598,44.5,1.32,0.173,103.6
1.6,2.5,0.03,trend+breakout,retest+m15,329,44.4,1.38,0.212,69.6
1.6,2.5,0.03,no_liquidity_only,none,634,44.0,1.3,0.167,106.0
1.6,2.5,0.03,no_liquidity_only,retest,363,43.8,1.36,0.204,74.0
1.6,2.5,0.03,no_liquidity_only,m15,598,44.5,1.32,0.173,103.6
1.6,2.5,0.03,no_liquidity_only,retest+m15,329,44.4,1.38,0.212,69.6
1.6,2.5,0.05,all,none,1496,42.3,1.26,0.147,219.3
1.6,2.5,0.05,all,retest,929,42.4,1.3,0.176,163.4
1.6,2.5,0.05,all,m15,1228,43.4,1.31,0.174,213.2
1.6,2.5,0.05,all,retest+m15,744,44.4,1.39,0.222,165.5
1.6,2.5,0.05,trend,none,375,48.0,1.41,0.211,79.1
1.6,2.5,0.05,trend,m15,375,48.0,1.41,0.211,79.1
1.6,2.5,0.05,trend+breakout,none,922,43.1,1.3,0.171,157.5
1.6,2.5,0.05,trend+breakout,retest,584,42.8,1.35,0.204,119.2
1.6,2.5,0.05,trend+breakout,m15,851,43.6,1.31,0.178,151.6
1.6,2.5,0.05,trend+breakout,retest+m15,517,43.5,1.38,0.217,112.4
1.6,2.5,0.05,no_liquidity_only,none,922,43.1,1.3,0.171,157.5
1.6,2.5,0.05,no_liquidity_only,retest,584,42.8,1.35,0.204,119.2
1.6,2.5,0.05,no_liquidity_only,m15,851,43.6,1.31,0.178,151.6
1.6,2.5,0.05,no_liquidity_only,retest+m15,517,43.5,1.38,0.217,112.4
2.0,1.0,0.02,all,none,189,52.9,1.11,0.044,8.4
2.0,1.0,0.02,all,m15,147,57.1,1.26,0.095,14.0
2.0,1.0,0.03,all,none,438,53.2,1.1,0.04,17.3
2.0,1.0,0.03,all,retest,234,56.8,1.24,0.092,21.5
2.0,1.0,0.03,all,m15,349,55.0,1.16,0.063,22.0
2.0,1.0,0.03,all,retest+m15,190,58.4,1.29,0.11,21.0
2.0,1.0,0.03,trend+breakout,none,213,57.3,1.25,0.097,20.6
2.0,1.0,0.03,trend+breakout,retest,124,62.9,1.56,0.196,24.3
2.0,1.0,0.03,trend+breakout,m15,205,57.6,1.27,0.101,20.7
2.0,1.0,0.03,no_liquidity_only,none,213,57.3,1.25,0.097,20.6
2.0,1.0,0.03,no_liquidity_only,retest,124,62.9,1.56,0.196,24.3
2.0,1.0,0.03,no_liquidity_only,m15,205,57.6,1.27,0.101,20.7
2.0,1.0,0.05,all,none,953,53.3,1.1,0.043,40.7
2.0,1.0,0.05,all,retest,527,55.2,1.2,0.081,42.5
2.0,1.0,0.05,all,m15,775,54.7,1.15,0.062,48.3
2.0,1.0,0.05,all,retest+m15,423,57.9,1.32,0.123,52.1
2.0,1.0,0.05,trend,none,257,58.0,1.28,0.104,26.8
2.0,1.0,0.05,trend,m15,257,58.0,1.28,0.104,26.8
2.0,1.0,0.05,trend+breakout,none,513,55.6,1.19,0.077,39.7
2.0,1.0,0.05,trend+breakout,retest,286,57.3,1.31,0.123,35.0
2.0,1.0,0.05,trend+breakout,m15,485,56.3,1.22,0.088,42.6
2.0,1.0,0.05,trend+breakout,retest+m15,260,58.8,1.38,0.146,37.9
2.0,1.0,0.05,no_liquidity_only,none,513,55.6,1.19,0.077,39.7
2.0,1.0,0.05,no_liquidity_only,retest,286,57.3,1.31,0.123,35.0
2.0,1.0,0.05,no_liquidity_only,m15,485,56.3,1.22,0.088,42.6
2.0,1.0,0.05,no_liquidity_only,retest+m15,260,58.8,1.38,0.146,37.9
2.0,1.25,0.02,all,none,313,53.7,1.23,0.093,29.0
2.0,1.25,0.02,all,retest,160,53.1,1.15,0.062,10.0
2.0,1.25,0.02,all,m15,246,56.1,1.3,0.118,28.9
2.0,1.25,0.02,all,retest+m15,127,55.9,1.22,0.091,11.6
2.0,1.25,0.02,trend+breakout,none,142,55.6,1.27,0.109,15.4
2.0,1.25,0.02,trend+breakout,m15,138,55.8,1.29,0.114,15.7
2.0,1.25,0.02,no_liquidity_only,none,142,55.6,1.27,0.109,15.4
2.0,1.25,0.02,no_liquidity_only,m15,138,55.8,1.29,0.114,15.7
2.0,1.25,0.03,all,none,672,52.1,1.18,0.075,50.6
2.0,1.25,0.03,all,retest,359,54.3,1.28,0.118,42.5
2.0,1.25,0.03,all,m15,538,53.2,1.21,0.087,46.6
2.0,1.25,0.03,all,retest+m15,290,55.9,1.34,0.139,40.2
2.0,1.25,0.03,trend,none,171,55.0,1.24,0.095,16.2
2.0,1.25,0.03,trend,m15,171,55.0,1.24,0.095,16.2
2.0,1.25,0.03,trend+breakout,none,334,53.0,1.18,0.079,26.5
2.0,1.25,0.03,trend+breakout,retest,189,55.6,1.33,0.14,26.5
2.0,1.25,0.03,trend+breakout,m15,318,53.1,1.19,0.084,26.6
2.0,1.25,0.03,trend+breakout,retest+m15,173,56.1,1.37,0.153,26.5
2.0,1.25,0.03,no_liquidity_only,none,334,53.0,1.18,0.079,26.5
2.0,1.25,0.03,no_liquidity_only,retest,189,55.6,1.33,0.14,26.5
2.0,1.25,0.03,no_liquidity_only,m15,318,53.1,1.19,0.084,26.6
2.0,1.25,0.03,no_liquidity_only,retest+m15,173,56.1,1.37,0.153,26.5
2.0,1.25,0.05,all,none,1158,50.3,1.13,0.057,66.2
2.0,1.25,0.05,all,retest,665,51.6,1.2,0.089,59.1
2.0,1.25,0.05,all,m15,943,51.7,1.17,0.078,73.2
2.0,1.25,0.05,all,retest+m15,528,54.4,1.32,0.135,71.3
2.0,1.25,0.05,trend,none,314,55.1,1.28,0.115,36.0
2.0,1.25,0.05,trend,m15,314,55.1,1.28,0.115,36.0
2.0,1.25,0.05,trend+breakout,none,655,51.9,1.18,0.081,53.4
2.0,1.25,0.05,trend+breakout,retest,378,52.6,1.25,0.111,42.0
2.0,1.25,0.05,trend+breakout,m15,618,52.6,1.21,0.093,57.4
2.0,1.25,0.05,trend+breakout,retest+m15,343,53.9,1.31,0.135,46.3
2.0,1.25,0.05,no_liquidity_only,none,655,51.9,1.18,0.081,53.4
2.0,1.25,0.05,no_liquidity_only,retest,378,52.6,1.25,0.111,42.0
2.0,1.25,0.05,no_liquidity_only,m15,618,52.6,1.21,0.093,57.4
2.0,1.25,0.05,no_liquidity_only,retest+m15,343,53.9,1.31,0.135,46.3
2.0,1.5,0.02,all,none,438,49.3,1.17,0.076,33.5
2.0,1.5,0.02,all,retest,234,51.7,1.27,0.12,28.1
2.0,1.5,0.02,all,m15,349,50.7,1.21,0.09,31.5
2.0,1.5,0.02,all,retest+m15,190,53.2,1.3,0.128,24.3
2.0,1.5,0.02,trend+breakout,none,213,52.1,1.27,0.117,25.0
2.0,1.5,0.02,trend+breakout,retest,124,56.5,1.49,0.205,25.4
2.0,1.5,0.02,trend+breakout,m15,205,52.2,1.27,0.118,24.1
2.0,1.5,0.02,no_liquidity_only,none,213,52.1,1.27,0.117,25.0
2.0,1.5,0.02,no_liquidity_only,retest,124,56.5,1.49,0.205,25.4
2.0,1.5,0.02,no_liquidity_only,m15,205,52.2,1.27,0.118,24.1
2.0,1.5,0.03,all,none,848,49.6,1.19,0.087,74.1
2.0,1.5,0.03,all,retest,465,51.2,1.31,0.137,63.6
2.0,1.5,0.03,all,m15,688,50.1,1.2,0.09,62.0
2.0,1.5,0.03,all,retest+m15,376,52.4,1.35,0.152,57.3
2.0,1.5,0.03,trend,none,224,54.0,1.28,0.116,26.0
2.0,1.5,0.03,trend,m15,224,54.0,1.28,0.116,26.0
2.0,1.5,0.03,trend+breakout,none,442,50.5,1.2,0.093,41.3
2.0,1.5,0.03,trend+breakout,retest,249,51.8,1.34,0.156,38.9
2.0,1.5,0.03,trend+breakout,m15,423,50.4,1.2,0.09,37.9
2.0,1.5,0.03,trend+breakout,retest+m15,230,51.7,1.34,0.154,35.5
2.0,1.5,0.03,no_liquidity_only,none,442,50.5,1.2,0.093,41.3
2.0,1.5,0.03,no_liquidity_only,retest,249,51.8,1.34,0.156,38.9
2.0,1.5,0.03,no_liquidity_only,m15,423,50.4,1.2,0.09,37.9
2.0,1.5,0.03,no_liquidity_only,retest+m15,230,51.7,1.34,0.154,35.5
2.0,1.5,0.05,all,none,1314,48.9,1.18,0.086,113.3
2.0,1.5,0.05,all,retest,782,50.0,1.27,0.126,98.4
2.0,1.5,0.05,all,m15,1076,49.9,1.21,0.1,107.2
2.0,1.5,0.05,all,retest+m15,624,52.1,1.35,0.16,99.8
2.0,1.5,0.05,trend,none,343,53.4,1.3,0.127,43.5
2.0,1.5,0.05,trend,m15,343,53.4,1.3,0.127,43.5
2.0,1.5,0.05,trend+breakout,none,766,50.0,1.23,0.109,83.5
2.0,1.5,0.05,trend+breakout,retest,460,50.7,1.31,0.147,67.6
2.0,1.5,0.05,trend+breakout,m15,718,50.7,1.26,0.12,86.1
2.0,1.5,0.05,trend+breakout,retest+m15,414,51.9,1.37,0.171,70.6
2.0,1.5,0.05,no_liquidity_only,none,766,50.0,1.23,0.109,83.5
2.0,1.5,0.05,no_liquidity_only,retest,460,50.7,1.31,0.147,67.6
2.0,1.5,0.05,no_liquidity_only,m15,718,50.7,1.26,0.12,86.1
2.0,1.5,0.05,no_liquidity_only,retest+m15,414,51.9,1.37,0.171,70.6
2.0,2.0,0.02,all,none,721,48.3,1.24,0.11,79.6
2.0,2.0,0.02,all,retest,389,49.6,1.33,0.154,59.7
2.0,2.0,0.02,all,m15,579,49.1,1.25,0.113,65.7
2.0,2.0,0.02,all,retest+m15,313,50.8,1.35,0.162,50.6
2.0,2.0,0.02,trend,none,185,51.9,1.26,0.112,20.7
2.0,2.0,0.02,trend,m15,185,51.9,1.26,0.112,20.7
2.0,2.0,0.02,trend+breakout,none,362,48.6,1.22,0.105,38.1
2.0,2.0,0.02,trend+breakout,retest,205,49.3,1.34,0.166,34.1
2.0,2.0,0.02,trend+breakout,m15,345,48.7,1.21,0.101,34.8
2.0,2.0,0.02,trend+breakout,retest+m15,188,49.5,1.34,0.163,30.7
2.0,2.0,0.02,no_liquidity_only,none,362,48.6,1.22,0.105,38.1
2.0,2.0,0.02,no_liquidity_only,retest,205,49.3,1.34,0.166,34.1
2.0,2.0,0.02,no_liquidity_only,m15,345,48.7,1.21,0.101,34.8
2.0,2.0,0.02,no_liquidity_only,retest+m15,188,49.5,1.34,0.163,30.7
2.0,2.0,0.03,all,none,1126,47.2,1.25,0.12,134.6
2.0,2.0,0.03,all,retest,645,48.1,1.34,0.162,104.3
2.0,2.0,0.03,all,m15,916,48.3,1.28,0.135,124.1
2.0,2.0,0.03,all,retest+m15,512,50.4,1.43,0.202,103.7
2.0,2.0,0.03,trend,none,307,51.5,1.31,0.139,42.7
2.0,2.0,0.03,trend,m15,307,51.5,1.31,0.139,42.7
2.0,2.0,0.03,trend+breakout,none,634,47.8,1.26,0.127,80.5
2.0,2.0,0.03,trend+breakout,retest,363,47.9,1.34,0.168,61.1
2.0,2.0,0.03,trend+breakout,m15,598,48.3,1.27,0.131,78.5
2.0,2.0,0.03,trend+breakout,retest+m15,329,48.9,1.37,0.183,60.1
2.0,2.0,0.03,no_liquidity_only,none,634,47.8,1.26,0.127,80.5
2.0,2.0,0.03,no_liquidity_only,retest,363,47.9,1.34,0.168,61.1
2.0,2.0,0.03,no_liquidity_only,m15,598,48.3,1.27,0.131,78.5
2.0,2.0,0.03,no_liquidity_only,retest+m15,329,48.9,1.37,0.183,60.1
2.0,2.0,0.05,all,none,1496,46.1,1.21,0.106,159.1
2.0,2.0,0.05,all,retest,929,46.4,1.27,0.139,129.4
2.0,2.0,0.05,all,m15,1228,47.1,1.25,0.124,152.0
2.0,2.0,0.05,all,retest+m15,744,48.4,1.35,0.177,131.5
2.0,2.0,0.05,trend,none,375,50.9,1.3,0.138,51.9
2.0,2.0,0.05,trend,m15,375,50.9,1.3,0.138,51.9
2.0,2.0,0.05,trend+breakout,none,922,46.6,1.23,0.119,109.7
2.0,2.0,0.05,trend+breakout,retest,584,46.6,1.29,0.154,89.9
2.0,2.0,0.05,trend+breakout,m15,851,47.2,1.25,0.126,107.2
2.0,2.0,0.05,trend+breakout,retest+m15,517,47.6,1.33,0.172,89.1
2.0,2.0,0.05,no_liquidity_only,none,922,46.6,1.23,0.119,109.7
2.0,2.0,0.05,no_liquidity_only,retest,584,46.6,1.29,0.154,89.9
2.0,2.0,0.05,no_liquidity_only,m15,851,47.2,1.25,0.126,107.2
2.0,2.0,0.05,no_liquidity_only,retest+m15,517,47.6,1.33,0.172,89.1
2.0,2.5,0.02,all,none,953,46.7,1.3,0.146,138.8
2.0,2.5,0.02,all,retest,527,47.8,1.43,0.206,108.5
2.0,2.5,0.02,all,m15,775,47.6,1.35,0.165,127.8
2.0,2.5,0.02,all,retest+m15,423,49.9,1.54,0.249,105.5
2.0,2.5,0.02,trend,none,257,49.8,1.26,0.118,30.3
2.0,2.5,0.02,trend,m15,257,49.8,1.26,0.118,30.3
2.0,2.5,0.02,trend+breakout,none,513,46.6,1.28,0.139,71.2
2.0,2.5,0.02,trend+breakout,retest,286,47.6,1.46,0.228,65.1
2.0,2.5,0.02,trend+breakout,m15,485,47.0,1.29,0.141,68.6
2.0,2.5,0.02,trend+breakout,retest+m15,260,48.5,1.5,0.243,63.1
2.0,2.5,0.02,no_liquidity_only,none,513,46.6,1.28,0.139,71.2
2.0,2.5,0.02,no_liquidity_only,retest,286,47.6,1.46,0.228,65.1
2.0,2.5,0.02,no_liquidity_only,m15,485,47.0,1.29,0.141,68.6
2.0,2.5,0.02,no_liquidity_only,retest+m15,260,48.5,1.5,0.243,63.1
2.0,2.5,0.03,all,none,1314,45.6,1.26,0.132,173.8
2.0,2.5,0.03,all,retest,782,46.0,1.34,0.175,137.2
2.0,2.5,0.03,all,m15,1076,46.9,1.32,0.162,174.1
2.0,2.5,0.03,all,retest+m15,624,48.4,1.46,0.228,142.5
2.0,2.5,0.03,trend,none,343,50.4,1.33,0.152,52.0
2.0,2.5,0.03,trend,m15,343,50.4,1.33,0.152,52.0
2.0,2.5,0.03,trend+breakout,none,766,46.2,1.28,0.144,110.2
2.0,2.5,0.03,trend+breakout,retest,460,46.1,1.36,0.189,87.0
2.0,2.5,0.03,trend+breakout,m15,718,46.9,1.31,0.157,113.1
2.0,2.5,0.03,trend+breakout,retest+m15,414,47.3,1.43,0.218,90.3
2.0,2.5,0.03,no_liquidity_only,none,766,46.2,1.28,0.144,110.2
2.0,2.5,0.03,no_liquidity_only,retest,460,46.1,1.36,0.189,87.0
2.0,2.5,0.03,no_liquidity_only,m15,718,46.9,1.31,0.157,113.1
2.0,2.5,0.03,no_liquidity_only,retest+m15,414,47.3,1.43,0.218,90.3
2.0,2.5,0.05,all,none,1568,44.3,1.21,0.112,175.9
2.0,2.5,0.05,all,retest,993,43.9,1.25,0.135,133.8
2.0,2.5,0.05,all,m15,1292,45.4,1.26,0.136,176.3
2.0,2.5,0.05,all,retest+m15,800,45.6,1.33,0.174,139.4
2.0,2.5,0.05,trend,none,383,49.6,1.31,0.145,55.4
2.0,2.5,0.05,trend,m15,383,49.6,1.31,0.145,55.4
2.0,2.5,0.05,trend+breakout,none,985,44.6,1.22,0.12,117.8
2.0,2.5,0.05,trend+breakout,retest,639,43.7,1.25,0.141,89.9
2.0,2.5,0.05,trend+breakout,m15,906,45.1,1.24,0.13,117.5
2.0,2.5,0.05,trend+breakout,retest+m15,564,44.5,1.29,0.161,90.9
2.0,2.5,0.05,no_liquidity_only,none,985,44.6,1.22,0.12,117.8
2.0,2.5,0.05,no_liquidity_only,retest,639,43.7,1.25,0.141,89.9
2.0,2.5,0.05,no_liquidity_only,m15,906,45.1,1.24,0.13,117.5
2.0,2.5,0.05,no_liquidity_only,retest+m15,564,44.5,1.29,0.161,90.9
2.5,1.0,0.02,all,none,313,56.2,1.26,0.085,26.7
2.5,1.0,0.02,all,retest,160,57.5,1.3,0.1,15.9
2.5,1.0,0.02,all,m15,246,59.3,1.34,0.109,26.8
2.5,1.0,0.02,all,retest+m15,127,61.4,1.4,0.128,16.2
2.5,1.0,0.02,trend+breakout,none,142,60.6,1.44,0.135,19.2
2.5,1.0,0.02,trend+breakout,m15,138,60.9,1.45,0.139,19.2
2.5,1.0,0.02,no_liquidity_only,none,142,60.6,1.44,0.135,19.2
2.5,1.0,0.02,no_liquidity_only,m15,138,60.9,1.45,0.139,19.2
2.5,1.0,0.03,all,none,672,54.5,1.17,0.06,40.2
2.5,1.0,0.03,all,retest,359,57.7,1.33,0.114,41.1
2.5,1.0,0.03,all,m15,538,56.1,1.21,0.075,40.5
2.5,1.0,0.03,all,retest+m15,290,60.0,1.42,0.14,40.5
2.5,1.0,0.03,trend,none,171,58.5,1.28,0.091,15.5
2.5,1.0,0.03,trend,m15,171,58.5,1.28,0.091,15.5
2.5,1.0,0.03,trend+breakout,none,334,57.2,1.27,0.094,31.4
2.5,1.0,0.03,trend+breakout,retest,189,61.4,1.56,0.179,33.8
2.5,1.0,0.03,trend+breakout,m15,318,57.5,1.3,0.102,32.3
2.5,1.0,0.03,trend+breakout,retest+m15,173,62.4,1.66,0.201,34.7
2.5,1.0,0.03,no_liquidity_only,none,334,57.2,1.27,0.094,31.4
2.5,1.0,0.03,no_liquidity_only,retest,189,61.4,1.56,0.179,33.8
2.5,1.0,0.03,no_liquidity_only,m15,318,57.5,1.3,0.102,32.3
2.5,1.0,0.03,no_liquidity_only,retest+m15,173,62.4,1.66,0.201,34.7
2.5,1.0,0.05,all,none,1158,53.2,1.12,0.047,54.2
2.5,1.0,0.05,all,retest,665,55.2,1.22,0.084,56.1
2.5,1.0,0.05,all,m15,943,54.8,1.17,0.064,60.8
2.5,1.0,0.05,all,retest+m15,528,58.1,1.34,0.122,64.4
2.5,1.0,0.05,trend,none,314,58.9,1.33,0.112,35.3
2.5,1.0,0.05,trend,m15,314,58.9,1.33,0.112,35.3
2.5,1.0,0.05,trend+breakout,none,655,56.0,1.23,0.087,56.7
2.5,1.0,0.05,trend+breakout,retest,378,58.2,1.38,0.138,52.2
2.5,1.0,0.05,trend+breakout,m15,618,56.5,1.24,0.091,56.3
2.5,1.0,0.05,trend+breakout,retest+m15,343,59.2,1.43,0.151,51.7
2.5,1.0,0.05,no_liquidity_only,none,655,56.0,1.23,0.087,56.7
2.5,1.0,0.05,no_liquidity_only,retest,378,58.2,1.38,0.138,52.2
2.5,1.0,0.05,no_liquidity_only,m15,618,56.5,1.24,0.091,56.3
2.5,1.0,0.05,no_liquidity_only,retest+m15,343,59.2,1.43,0.151,51.7
2.5,1.25,0.02,all,none,472,51.9,1.2,0.072,34.0
2.5,1.25,0.02,all,retest,247,55.5,1.37,0.131,32.3
2.5,1.25,0.02,all,m15,377,53.6,1.24,0.086,32.5
