ts_open,ts_close,symbol,direction,strategy,regime,regime_conf,setup_score,grade,session,entry,stop,tp1,tp2,exit,exit_reason,lots,risk_money,risk_percent,r_distance,pnl,r_multiple,mfe_r,mae_r,bars_held,spread,atr,entry_slippage,exit_slippage,commission,news_status,entry_reason,equity_after
2026-01-02 08:36:00+00:00,2026-01-02 13:32:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.989,65.0,NO_TRADE,LONDON,4388.648,4370.626,4406.67,4406.67,4370.376,STOP,0.001,1.8022,0.3604,18.022,-1.8272,-1.0139,0.737,1.043,296,0.2,3.411,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,498.1728
2026-01-05 10:30:00+00:00,2026-01-05 11:26:00+00:00,XAUUSD,LONG,TREND_CONTINUATION,STRONG_BULL,1.0,85.0,A,LONDON,4432.94,4419.935,4445.945,4445.945,4419.713,STOP,0.001,1.3005,0.2611,13.005,-1.3227,-1.0171,0.518,1.373,56,0.19,3.236,0.05,0.12,0.0,clear,trend pullback + LTF BOS,496.8501
2026-01-08 02:07:00+00:00,2026-01-08 05:30:00+00:00,XAUUSD,SHORT,BREAKOUT,COMPRESSION,0.921,65.0,NO_TRADE,ASIA,4443.215,4464.405,4422.025,4422.025,4422.207,TP2,0.001,2.119,0.4265,21.19,2.1008,0.9914,1.071,0.24,203,0.439,5.066,0.05,0.0,0.0,clear,compression -> confirmed range break + momentum,498.9509
2026-01-08 05:47:00+00:00,2026-01-08 13:47:00+00:00,XAUUSD,SHORT,BREAKOUT,EXPANSION,0.887,70.0,NO_TRADE,ASIA,4419.857,4441.901,4397.812,4397.812,4431.65,TIME,0.001,2.2044,0.4418,22.044,-1.1793,-0.535,0.561,0.889,480,0.417,4.489,0.05,0.05,0.0,clear,compression -> confirmed range break + momentum,497.7716
2026-01-09 13:21:00+00:00,2026-01-09 13:32:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,CHOPPY,0.707,90.0,A+,OVERLAP,4467.346,4447.915,4486.778,4486.778,4486.668,TP2,0.001,1.9432,0.3904,19.432,1.9322,0.9943,1.007,0.45,11,0.203,3.908,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,499.7038
2026-01-14 11:31:00+00:00,2026-01-14 14:48:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.699,85.0,A,LONDON,4630.774,4652.694,4608.854,4608.854,4608.983,TP2,0.001,2.192,0.4387,21.92,2.1791,0.9941,1.021,0.494,197,0.202,3.546,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,501.8829
2026-01-16 05:53:00+00:00,2026-01-16 13:16:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.995,65.0,NO_TRADE,ASIA,4612.055,4587.543,4636.566,4636.566,4587.32,STOP,0.001,2.4511,0.4884,24.511,-2.4735,-1.0091,0.16,1.054,443,0.339,3.281,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,499.4094
2026-01-19 09:24:00+00:00,2026-01-19 17:24:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,75.0,B,LONDON,4668.405,4683.36,4653.45,4653.45,4669.852,TIME,0.001,1.4955,0.2994,14.955,-0.1447,-0.0967,0.6,0.505,480,0.2,3.433,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,499.2647
2026-01-20 18:56:00+00:00,2026-01-20 21:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,BULL,0.947,85.0,A,NEWYORK,4756.653,4778.055,4735.25,4735.25,4758.354,SESSION_END,0.001,2.1402,0.4287,21.402,-0.1701,-0.0795,0.449,0.444,124,0.291,4.382,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,499.0946
2026-01-22 19:01:00+00:00,2026-01-22 21:00:00+00:00,XAUUSD,LONG,BREAKOUT,BULL,0.556,70.0,NO_TRADE,NEWYORK,4916.553,4892.208,4940.898,4940.898,4916.364,SESSION_END,0.001,2.4345,0.4878,24.345,-0.0189,-0.0078,0.482,0.444,119,0.237,5.977,0.05,0.05,0.0,clear,compression -> confirmed range break + momentum,499.0758
