ts_open,ts_close,symbol,direction,strategy,regime,regime_conf,setup_score,grade,session,entry,stop,tp1,tp2,exit,exit_reason,lots,risk_money,risk_percent,r_distance,pnl,r_multiple,mfe_r,mae_r,bars_held,spread,atr,entry_slippage,exit_slippage,commission,news_status,entry_reason,equity_after
2019-06-25 17:41:00+00:00,2019-06-25 21:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,85.0,A,NEWYORK,1424.8,1443.388,1406.211,1406.211,1423.627,SESSION_END,0.001,1.8589,0.3718,18.589,0.1173,0.0631,0.699,0.079,199,0.331,1.945,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,500.1173
2019-07-03 13:22:00+00:00,2019-07-03 21:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,90.0,A+,OVERLAP,1419.511,1406.964,1432.058,1432.058,1417.145,SESSION_END,0.001,1.2547,0.2509,12.547,-0.2366,-0.1886,0.188,0.601,457,0.266,1.794,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,499.7634
2019-07-19 15:13:00+00:00,2019-07-19 18:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,85.0,A,OVERLAP,1434.622,1453.346,1415.898,1415.898,1425.869,SESSION_END,0.001,1.8724,0.3747,18.724,0.8753,0.4675,0.617,0.126,167,0.312,2.005,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,500.6387
2019-08-02 15:13:00+00:00,2019-08-02 18:00:00+00:00,XAUUSD,LONG,BREAKOUT,BULL,0.84,70.0,NO_TRADE,OVERLAP,1443.55,1428.609,1458.49,1458.49,1447.268,SESSION_END,0.001,1.494,0.2984,14.94,0.3718,0.2489,0.294,0.179,167,0.344,2.69,0.05,0.05,0.0,clear,compression -> confirmed range break + momentum,501.0106
2019-08-08 13:37:00+00:00,2019-08-08 19:03:00+00:00,XAUUSD,SHORT,BREAKOUT,COMPRESSION,1.0,50.0,NO_TRADE,OVERLAP,1493.87,1504.126,1483.614,1483.614,1504.373,STOP,0.002,2.0512,0.4094,10.256,-2.1006,-1.0241,0.382,1.098,326,0.195,1.362,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,498.91
2019-08-14 20:06:00+00:00,2019-08-14 21:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,85.0,A,NEWYORK,1513.707,1532.77,1494.644,1494.644,1515.058,SESSION_END,0.001,1.9063,0.3821,19.063,-0.1351,-0.0709,0.016,0.233,54,0.296,2.035,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,498.7749
2019-08-19 12:32:00+00:00,2019-08-19 20:32:00+00:00,XAUUSD,SHORT,BREAKOUT,STRONG_BEAR,0.952,85.0,A,OVERLAP,1495.973,1506.993,1484.954,1484.954,1494.938,TIME,0.002,2.2039,0.4419,11.02,0.2071,0.094,0.254,0.669,480,0.209,1.22,0.05,0.05,0.0,clear,compression -> confirmed range break + momentum,498.982
2019-09-26 13:41:00+00:00,2019-09-26 21:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,85.0,A,OVERLAP,1505.798,1490.889,1520.708,1520.708,1503.707,SESSION_END,0.001,1.491,0.2988,14.91,-0.2091,-0.1402,0.432,0.273,439,0.326,1.607,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,498.7729
2019-11-08 15:03:00+00:00,2019-11-08 18:00:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,75.0,B,OVERLAP,1464.7,1448.326,1481.073,1481.073,1461.952,SESSION_END,0.001,1.6373,0.3283,16.373,-0.2748,-0.1678,0.213,0.257,177,0.323,1.95,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,498.4981
2019-12-13 15:07:00+00:00,2019-12-13 18:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.562,85.0,A,OVERLAP,1466.39,1485.484,1447.297,1447.297,1474.849,SESSION_END,0.001,1.9094,0.383,19.094,-0.8458,-0.443,0.003,0.6,173,0.389,1.987,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,497.6523
