year,trades,win_rate,profit_factor,net_return_pct,max_dd_pct,expectancy_r
2015,18,38.888888888888886,0.5648283253489663,-0.6740477245170269,0.9869828508992058,-0.10092777777777778
2016,38,47.36842105263158,0.8401864961827824,-0.6334443432213334,1.897657561733404,-0.026786842105263147
2017,3,100.0,inf,0.44646502994631876,0.0,0.39020000000000005
2018,2,0.0,0.0,-0.17540254262115695,0.17540254262115695,-0.20785
2019,23,34.78260869565217,0.4565734002846326,-1.6190359839229813,1.6421009477239727,-0.19940434782608693
2020,102,49.01960784313726,1.1226718754691996,1.7157781646824675,2.0787551852954564,0.030076470588235305
2021,73,34.24657534246575,0.6404181478919684,-3.5766966272520335,4.976548203302753,-0.1536890410958904
2022,95,41.05263157894737,0.7148073843220942,-4.284530755835829,4.284530755835829,-0.12692105263157896
2023,53,52.83018867924528,1.7454934862645142,4.211746677409769,1.436602200035049,0.16727735849056605
2024,121,53.71900826446281,1.3399904727404939,5.124502655977676,2.8340307677389607,0.1346644628099173
2025,247,57.08502024291498,1.698476001640913,20.431743115038284,2.6767647816673388,0.2004898785425101
2026,127,47.24409448818898,1.0758402396926097,1.9196886033014948,2.7650071249149097,0.02724645669291339
