ts_open,ts_close,symbol,direction,strategy,regime,regime_conf,setup_score,grade,session,entry,stop,tp1,tp2,exit,exit_reason,lots,risk_money,risk_percent,r_distance,pnl,r_multiple,mfe_r,mae_r,bars_held,spread,atr,entry_slippage,exit_slippage,commission,news_status,entry_reason,equity_after
2026-01-06 07:56:00+00:00,2026-01-06 08:23:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,80.0,B,LONDON,4458.13,4467.869,4443.521,4433.782,4468.088,STOP,0.01,9.7391,1.9478,9.739,-9.958,-1.0225,0.119,1.014,27,0.198,3.696,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,490.042
2026-01-08 07:52:00+00:00,2026-01-08 11:52:00+00:00,XAUUSD,SHORT,TREND_CONTINUATION,STRONG_BEAR,0.918,75.0,B,LONDON,4428.74,4437.86,4415.06,4405.939,4423.979,TIME,0.01,9.1203,1.8611,9.12,4.7613,0.5221,1.02,0.702,240,0.23,4.701,0.05,0.05,0.0,clear,trend pullback + LTF BOS,494.8033
2026-01-09 13:21:00+00:00,2026-01-09 13:30:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,CHOPPY,0.707,90.0,A+,OVERLAP,4467.346,4460.768,4477.214,4483.792,4467.312,BE_STOP,0.01,6.5784,1.3295,6.578,-0.0345,-0.0052,1.081,1.33,9,0.203,3.908,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,494.7688
2026-01-12 14:33:00+00:00,2026-01-12 14:39:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,75.0,B,OVERLAP,4598.885,4608.402,4584.611,4575.095,4608.671,STOP,0.01,9.5163,1.9234,9.516,-9.7855,-1.0283,0.723,1.29,6,0.279,6.695,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,484.9833
2026-01-14 09:36:00+00:00,2026-01-14 12:59:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.585,85.0,A,LONDON,4631.398,4640.338,4617.988,4609.049,4640.548,STOP,0.01,8.9399,1.8433,8.94,-9.1498,-1.0235,0.627,1.141,203,0.199,3.653,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,475.8335
2026-01-16 12:23:00+00:00,2026-01-16 13:16:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.675,90.0,A+,OVERLAP,4607.27,4615.205,4595.368,4587.433,4587.536,TP2,0.01,7.935,1.6676,7.935,15.7665,1.987,2.652,0.013,53,0.17,2.92,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,491.6
2026-01-19 09:24:00+00:00,2026-01-19 11:44:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,75.0,B,LONDON,4668.405,4673.503,4660.757,4655.658,4665.271,BE_STOP,0.01,5.0985,1.0371,5.099,5.3453,1.0484,1.702,0.52,140,0.2,3.433,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,496.9453
2026-01-20 11:41:00+00:00,2026-01-20 13:21:00+00:00,XAUUSD,LONG,TREND_CONTINUATION,STRONG_BULL,0.998,85.0,A,LONDON,4730.055,4720.549,4744.314,4753.82,4720.329,STOP,0.01,9.5061,1.9129,9.506,-9.7261,-1.0231,0.535,1.256,100,0.22,3.465,0.05,0.12,0.0,clear,trend pullback + LTF BOS,487.2192
2026-01-22 19:06:00+00:00,2026-01-22 19:27:00+00:00,XAUUSD,LONG,BREAKOUT,BULL,0.556,85.0,A,NEWYORK,4920.623,4912.454,4932.877,4941.046,4912.221,STOP,0.01,8.169,1.6767,8.169,-8.4027,-1.0286,0.442,1.35,21,0.237,5.949,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,478.8165
2026-02-11 07:16:00+00:00,2026-02-11 09:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.616,80.0,B,LONDON,5061.863,5070.637,5048.702,5039.928,5055.205,BE_STOP,0.01,8.7738,1.8324,8.774,9.8567,1.1234,1.88,0.381,104,0.204,6.047,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,488.6732
2026-02-12 13:02:00+00:00,2026-02-12 13:27:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,CHOPPY,0.665,85.0,A,OVERLAP,5056.311,5047.319,5069.799,5078.79,5064.701,BE_STOP,0.01,8.9917,1.84,8.992,10.8942,1.2116,1.98,0.303,25,0.172,4.662,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,499.5674
2026-02-16 19:16:00+00:00,2026-02-16 23:00:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,1.0,95.0,A+,NEWYORK,4993.178,4998.272,4985.536,4980.441,4991.688,SESSION_END,0.01,5.0946,1.0198,5.095,1.4895,0.2924,0.951,0.559,13,0.175,2.948,0.05,0.05,0.0,clear,sweep + rejection + CHoCH + displacement,501.0569
2026-02-18 09:06:00+00:00,2026-02-18 10:05:00+00:00,XAUUSD,SHORT,BREAKOUT,COMPRESSION,0.989,80.0,B,LONDON,4915.575,4923.025,4904.399,4896.949,4923.236,STOP,0.01,7.4504,1.4869,7.45,-7.6617,-1.0284,0.381,1.055,59,0.181,4.52,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,493.3952
2026-02-27 13:06:00+00:00,2026-02-27 13:15:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.974,80.0,B,OVERLAP,5194.46,5185.155,5208.419,5217.724,5217.624,TP2,0.01,9.3056,1.886,9.306,18.5184,1.99,2.769,0.0,9,0.171,3.801,0.05,0.0,0.0,clear,compression -> confirmed range break + momentum,511.9136
2026-03-12 20:02:00+00:00,2026-03-12 20:30:00+00:00,XAUUSD,SHORT,TREND_CONTINUATION,STRONG_BEAR,0.996,75.0,B,NEWYORK,5088.441,5098.364,5073.557,5063.634,5063.769,TP2,0.01,9.9228,1.9384,9.923,19.7131,1.9866,3.39,0.199,28,0.274,6.796,0.05,0.0,0.0,clear,trend pullback + LTF BOS,531.6267
2026-03-16 08:27:00+00:00,2026-03-16 08:39:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.7,85.0,A,LONDON,4996.434,4985.833,5012.334,5022.935,4985.594,STOP,0.01,10.6006,1.994,10.601,-10.8393,-1.0225,0.37,1.026,12,0.237,7.368,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,520.7874
2026-03-18 10:28:00+00:00,2026-03-18 10:35:00+00:00,XAUUSD,SHORT,TREND_CONTINUATION,BEAR,0.867,85.0,A,LONDON,4985.871,4995.944,4970.761,4960.687,4960.799,TP2,0.01,10.0734,1.9343,10.073,20.0346,1.9889,2.575,0.158,7,0.209,4.276,0.05,0.0,0.0,clear,trend pullback + LTF BOS,540.822
2026-04-06 10:06:00+00:00,2026-04-06 10:57:00+00:00,XAUUSD,LONG,BREAKOUT,BULL,0.781,80.0,B,LONDON,4700.575,4691.306,4714.479,4723.749,4691.103,STOP,0.01,9.2692,1.7139,9.269,-9.4728,-1.022,0.613,1.02,51,0.181,6.806,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,531.3492
2026-04-10 12:46:00+00:00,2026-04-10 13:36:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.926,95.0,A+,OVERLAP,4766.045,4758.896,4776.768,4783.917,4773.076,BE_STOP,0.01,7.1491,1.3455,7.149,8.831,1.2353,2.276,0.906,50,0.18,4.517,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,540.1803
2026-04-13 08:11:00+00:00,2026-04-13 10:09:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,CHOPPY,0.57,85.0,A,LONDON,4729.47,4719.205,4744.866,4755.131,4718.975,STOP,0.01,10.2644,1.9002,10.264,-10.4953,-1.0225,1.008,1.181,118,0.23,5.718,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,529.685
2026-04-14 17:23:00+00:00,2026-04-14 18:38:00+00:00,XAUUSD,LONG,TREND_CONTINUATION,BULL,0.87,85.0,A,NEWYORK,4812.651,4803.029,4827.084,4836.706,4836.563,TP2,0.01,9.6218,1.8165,9.622,19.1053,1.9856,2.728,0.399,75,0.293,6.822,0.05,0.0,0.0,clear,trend pullback + LTF BOS,548.7903
2026-04-14 20:07:00+00:00,2026-04-14 21:00:00+00:00,XAUUSD,LONG,TREND_CONTINUATION,STRONG_BULL,0.935,90.0,A+,NEWYORK,4840.241,4829.41,4856.486,4867.316,4844.306,SESSION_END,0.01,10.8301,1.9735,10.83,4.066,0.3754,0.541,0.192,53,0.231,4.818,0.05,0.05,0.0,clear,trend pullback + LTF BOS,552.8563
2026-04-20 11:12:00+00:00,2026-04-20 12:11:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,80.0,B,LONDON,4796.704,4787.614,4810.341,4819.432,4787.407,STOP,0.01,9.0909,1.6444,9.091,-9.2979,-1.0228,0.447,1.06,59,0.219,4.846,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,543.5584
2026-04-22 11:06:00+00:00,2026-04-22 11:35:00+00:00,XAUUSD,SHORT,BREAKOUT,COMPRESSION,0.932,80.0,B,LONDON,4750.484,4758.545,4738.392,4730.33,4758.773,STOP,0.01,8.0614,1.4831,8.061,-8.2894,-1.0283,0.608,1.093,29,0.202,3.801,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,535.269
2026-04-27 13:50:00+00:00,2026-04-27 15:36:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,80.0,B,OVERLAP,4703.027,4713.517,4687.291,4676.8,4693.117,BE_STOP,0.01,10.4906,1.9599,10.491,12.7671,1.217,1.874,0.121,106,0.197,4.305,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,548.0361
2026-04-27 18:17:00+00:00,2026-04-27 18:29:00+00:00,XAUUSD,SHORT,TREND_CONTINUATION,STRONG_BEAR,0.934,75.0,B,NEWYORK,4671.018,4679.356,4658.513,4650.176,4679.598,STOP,0.01,8.3371,1.5213,8.337,-8.58,-1.0291,0.348,1.055,12,0.233,3.922,0.05,0.12,0.0,clear,trend pullback + LTF BOS,539.4561
2026-04-28 08:58:00+00:00,2026-04-28 09:30:00+00:00,XAUUSD,SHORT,TREND_CONTINUATION,STRONG_BEAR,0.934,80.0,B,LONDON,4630.134,4638.639,4617.378,4608.874,4628.549,BE_STOP,0.01,8.5042,1.5764,8.504,7.0912,0.8338,1.834,0.389,32,0.301,6.069,0.05,0.12,0.0,clear,trend pullback + LTF BOS,546.5474
2026-04-28 12:03:00+00:00,2026-04-28 12:36:00+00:00,XAUUSD,SHORT,TREND_CONTINUATION,STRONG_BEAR,0.972,75.0,B,OVERLAP,4606.621,4617.179,4590.783,4580.224,4580.359,TP2,0.01,10.5587,1.9319,10.559,20.9853,1.9875,2.506,0.059,33,0.249,5.338,0.05,0.0,0.0,clear,trend pullback + LTF BOS,567.5326
2026-04-30 17:57:00+00:00,2026-04-30 20:06:00+00:00,XAUUSD,LONG,LIQUIDITY_REVERSAL,LIQUIDITY_REVERSAL,0.8,85.0,A,NEWYORK,4607.407,4599.972,4618.56,4625.996,4625.892,TP2,0.01,7.4353,1.3101,7.435,14.7541,1.9843,2.562,0.272,129,0.245,5.365,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,582.2867
2026-05-08 13:56:00+00:00,2026-05-08 14:11:00+00:00,XAUUSD,LONG,BREAKOUT,COMPRESSION,0.963,85.0,A,OVERLAP,4729.347,4717.94,4746.457,4757.864,4717.704,STOP,0.01,11.407,1.959,11.407,-11.6432,-1.0207,0.152,1.023,15,0.224,6.9,0.05,0.12,0.0,clear,compression -> confirmed range break + momentum,570.6435
2026-05-13 18:05:00+00:00,2026-05-13 19:53:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.564,100.0,A+,NEWYORK,4696.425,4705.285,4683.134,4674.273,4684.928,BE_STOP,0.01,8.8607,1.5528,8.861,12.3385,1.3925,2.144,0.527,108,0.241,4.76,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,582.982
2026-05-14 13:48:00+00:00,2026-05-14 14:41:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.729,100.0,A+,OVERLAP,4699.784,4711.13,4682.764,4671.417,4671.54,TP2,0.01,11.3467,1.9463,11.347,22.571,1.9892,2.523,0.672,53,0.222,5.53,0.05,0.0,0.0,clear,sweep + rejection + CHoCH + displacement,605.5531
2026-05-14 19:46:00+00:00,2026-05-14 21:00:00+00:00,XAUUSD,SHORT,TREND_CONTINUATION,BEAR,0.915,75.0,B,NEWYORK,4667.564,4677.324,4652.924,4643.164,4656.222,SESSION_END,0.01,9.76,1.6117,9.76,12.9382,1.3256,1.525,0.417,74,0.208,3.595,0.05,0.05,0.0,clear,trend pullback + LTF BOS,618.4912
2026-05-25 15:55:00+00:00,2026-05-25 16:11:00+00:00,XAUUSD,SHORT,LIQUIDITY_REVERSAL,CHOPPY,0.63,80.0,B,OVERLAP,4565.581,4571.198,4557.155,4551.538,4571.421,STOP,0.01,5.6172,0.9082,5.617,-5.8398,-1.0396,0.07,1.336,16,0.168,3.067,0.05,0.12,0.0,clear,sweep + rejection + CHoCH + displacement,612.6515
