block,n,win,pf,ret,dd,expR
2019-01-01..2019-07-01,2,50.0,0.2,-0.09,0.12,-0.109
2019-07-01..2020-01-01,17,35.3,0.54,-0.92,1.29,-0.157
2020-01-01..2020-07-01,43,48.8,1.12,0.58,1.84,0.052
2020-07-01..2021-01-01,45,53.3,1.11,0.51,1.18,0.043
2021-01-01..2021-07-01,38,31.6,0.41,-3.25,3.77,-0.218
2021-07-01..2022-01-01,23,39.1,1.28,0.45,0.96,0.026
2022-01-01..2022-07-01,48,37.5,0.71,-1.81,1.84,-0.136
2022-07-01..2023-01-01,36,47.2,0.81,-0.94,2.55,-0.103
2023-01-01..2023-07-01,29,55.2,1.38,1.28,1.59,0.143
2023-07-01..2024-01-01,20,50.0,1.7,0.73,0.52,0.07
2024-01-01..2024-07-01,45,51.1,1.19,0.96,1.15,0.07
2024-07-01..2025-01-01,60,55.0,1.53,3.14,1.46,0.131
2025-01-01..2025-07-01,101,52.5,1.1,1.4,1.94,0.029
2025-07-01..2026-01-01,118,66.1,2.33,14.18,1.74,0.304
2026-01-01..2026-07-01,66,48.5,1.08,0.99,3.76,0.012
