variant,seconds,per_day,n,wr,pf,exp,max_dd,total_r,max_loss_streak,train_n,train_wr,train_pf,train_exp,validation_n,validation_wr,validation_pf,validation_exp,test_n,test_wr,test_pf,test_exp
v2 baseline (regression),21.3,0.131,153,54.9,1.26,0.1144,3.98,17.51,5,72,52.78,1.237,0.1089,37,62.16,1.453,0.1632,44,52.27,1.169,0.0825
+quote_ccy_conversion,16.1,0.131,153,54.9,1.229,0.1021,4.2,15.62,5,72,52.78,1.213,0.0984,37,62.16,1.406,0.148,44,52.27,1.14,0.0696
+book_on_exit,16.7,0.132,154,55.19,1.269,0.1177,3.98,18.13,5,72,52.78,1.237,0.1089,38,63.16,1.499,0.1753,44,52.27,1.169,0.0825
+tp_trade_through,14.6,0.131,153,54.9,1.26,0.1144,3.98,17.51,5,72,52.78,1.237,0.1089,37,62.16,1.453,0.1632,44,52.27,1.169,0.0825
all three (no ctx fix),15.9,0.132,154,55.19,1.238,0.1053,4.2,16.22,5,72,52.78,1.213,0.0984,38,63.16,1.45,0.1597,44,52.27,1.14,0.0696
