variant,seconds,per_day,n,wr,pf,exp,max_dd,total_r,max_loss_streak,train_n,train_wr,train_pf,train_exp,validation_n,validation_wr,validation_pf,validation_exp,test_n,test_wr,test_pf,test_exp
mid30_swing gate 80,26.5,0.199,138,39.86,0.676,-0.1841,14.11,-25.41,7,79,41.77,0.707,-0.158,26,30.77,0.399,-0.3883,33,42.42,0.847,-0.0858
mid30_swing gate 75,26.6,0.421,292,41.44,0.679,-0.183,29.12,-53.43,9,166,42.77,0.674,-0.1815,57,29.82,0.413,-0.3829,69,47.83,0.972,-0.0212
mid30_swing gate 70,23.5,0.558,387,42.89,0.673,-0.1858,36.85,-71.92,10,225,45.78,0.744,-0.1378,69,26.09,0.263,-0.5327,93,48.39,0.915,-0.0447
mid30_swing gate 65,31.9,0.878,609,43.35,0.739,-0.1429,45.82,-87.0,12,348,46.55,0.856,-0.0757,110,30.91,0.396,-0.3996,151,45.03,0.787,-0.1106
mid30_swing gate 60,23.3,1.164,808,45.17,0.784,-0.1139,49.11,-92.0,10,453,46.14,0.859,-0.0737,148,37.84,0.49,-0.3044,207,48.31,0.869,-0.0656
mid30_swing gate 55,30.5,1.253,872,43.23,0.734,-0.146,66.81,-127.33,10,494,44.53,0.815,-0.0996,157,35.03,0.446,-0.3451,221,46.15,0.794,-0.1084
